,cement,slag,ash,water,superplasticizer,coarse_agg,fine_agg,age,strength,total,cement_root,water_ratio,age_root,super_used
0,540.0,0.0,0.0,162.0,2.5,1040.0,676.0,28,79.98611076,2448.5,0.7008372472942618,0.06616295691239535,5.291502622129181,1
1,540.0,0.0,0.0,162.0,2.5,1055.0,676.0,28,61.887365759999994,2463.5,0.7026588187538055,0.06576009742236655,5.291502622129181,1
2,332.5,142.5,0.0,228.0,0.0,932.0,594.0,270,40.269535256000005,2499.0,0.6676670668267307,0.09123649459783914,16.431676725154983,0
3,332.5,142.5,0.0,228.0,0.0,932.0,594.0,365,41.052779992,2594.0,0.6432151117964534,0.08789514263685427,19.1049731745428,0
4,198.6,132.4,0.0,192.0,0.0,978.4,825.5,360,44.296075096,2686.9,0.7206446090289925,0.0714578138375079,18.973665961010276,0
5,266.0,114.0,0.0,228.0,0.0,932.0,670.0,90,47.029847436000004,2300.0,0.7460869565217392,0.09913043478260869,9.486832980505138,0
6,380.0,95.0,0.0,228.0,0.0,932.0,594.0,365,43.698299404,2594.0,0.6249036237471087,0.08789514263685427,19.1049731745428,0
7,380.0,95.0,0.0,228.0,0.0,932.0,594.0,28,36.447769788,2257.0,0.7182100132919805,0.10101905183872396,5.291502622129181,0
8,266.0,114.0,0.0,228.0,0.0,932.0,670.0,28,45.854290856,2238.0,0.7667560321715817,0.10187667560321716,5.291502622129181,0
9,475.0,0.0,0.0,228.0,0.0,932.0,594.0,28,39.28978986,2257.0,0.6761187416925122,0.10101905183872396,5.291502622129181,0
10,198.6,132.4,0.0,192.0,0.0,978.4,825.5,90,38.074243671999994,2416.9,0.8011502337705324,0.07944060573461872,9.486832980505138,0
11,198.6,132.4,0.0,192.0,0.0,978.4,825.5,28,28.021683592,2354.9,0.8222429827168881,0.08153212450634846,5.291502622129181,0
12,427.5,47.5,0.0,228.0,0.0,932.0,594.0,270,43.01296026,2499.0,0.6296518607442977,0.09123649459783914,16.431676725154983,0
13,190.0,190.0,0.0,228.0,0.0,932.0,670.0,90,42.32693164,2300.0,0.7791304347826087,0.09913043478260869,9.486832980505138,0
14,304.0,76.0,0.0,228.0,0.0,932.0,670.0,28,47.813781648,2238.0,0.7497765862377123,0.10187667560321716,5.291502622129181,0
15,380.0,0.0,0.0,228.0,0.0,932.0,670.0,90,52.908319811999995,2300.0,0.6965217391304348,0.09913043478260869,9.486832980505138,0
16,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,90,39.358047983999995,2484.9,0.8303352247575355,0.07726669081250755,9.486832980505138,0
17,342.0,38.0,0.0,228.0,0.0,932.0,670.0,365,56.141962252,2575.0,0.6368932038834951,0.08854368932038835,19.1049731745428,0
18,380.0,95.0,0.0,228.0,0.0,932.0,594.0,90,40.563252031999994,2319.0,0.6990081931867184,0.09831824062095731,9.486832980505138,0
19,475.0,0.0,0.0,228.0,0.0,932.0,594.0,180,42.620648416,2409.0,0.6334578663345787,0.09464508094645081,13.416407864998739,0
20,427.5,47.5,0.0,228.0,0.0,932.0,594.0,180,41.836714203999996,2409.0,0.6531755915317559,0.09464508094645081,13.416407864998739,0
21,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,28,28.23748958,2422.9,0.8515828139832433,0.07924388129926947,5.291502622129181,0
22,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,3,8.06342182,2397.9,0.8604612369156346,0.08007006130364068,1.7320508075688772,0
23,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,180,44.207822168,2574.9,0.8013126723367898,0.07456600256320634,13.416407864998739,0
24,380.0,0.0,0.0,228.0,0.0,932.0,670.0,365,52.516697443999995,2575.0,0.6221359223300971,0.08854368932038835,19.1049731745428,0
25,380.0,0.0,0.0,228.0,0.0,932.0,670.0,270,53.300631656,2480.0,0.6459677419354839,0.09193548387096774,16.431676725154983,0
26,380.0,95.0,0.0,228.0,0.0,932.0,594.0,270,41.15137506,2499.0,0.6486594637855142,0.09123649459783914,16.431676725154983,0
27,342.0,38.0,0.0,228.0,0.0,932.0,670.0,180,52.1243856,2390.0,0.6861924686192469,0.09539748953974896,13.416407864998739,0
28,427.5,47.5,0.0,228.0,0.0,932.0,594.0,28,37.427515183999994,2257.0,0.6971643774922464,0.10101905183872396,5.291502622129181,0
29,475.0,0.0,0.0,228.0,0.0,932.0,594.0,7,38.60376124,2236.0,0.682468694096601,0.10196779964221825,2.6457513110645907,0
30,304.0,76.0,0.0,228.0,0.0,932.0,670.0,365,55.260122448,2575.0,0.6516504854368932,0.08854368932038835,19.1049731745428,0
31,266.0,114.0,0.0,228.0,0.0,932.0,670.0,365,52.908319811999995,2575.0,0.6664077669902913,0.08854368932038835,19.1049731745428,0
32,198.6,132.4,0.0,192.0,0.0,978.4,825.5,180,41.719503284,2506.9,0.7723882085444174,0.07658861542143683,13.416407864998739,0
33,475.0,0.0,0.0,228.0,0.0,932.0,594.0,270,42.131120456,2499.0,0.6106442577030813,0.09123649459783914,16.431676725154983,0
34,190.0,190.0,0.0,228.0,0.0,932.0,670.0,365,53.69225402399999,2575.0,0.6959223300970874,0.08854368932038835,19.1049731745428,0
35,237.5,237.5,0.0,228.0,0.0,932.0,594.0,270,38.407950056000004,2499.0,0.7056822729091636,0.09123649459783914,16.431676725154983,0
36,237.5,237.5,0.0,228.0,0.0,932.0,594.0,28,30.079769451999997,2257.0,0.781346920691183,0.10101905183872396,5.291502622129181,0
37,332.5,142.5,0.0,228.0,0.0,932.0,594.0,90,37.721921436,2319.0,0.7194911599827511,0.09831824062095731,9.486832980505138,0
38,475.0,0.0,0.0,228.0,0.0,932.0,594.0,90,42.229026048,2319.0,0.6580422595946529,0.09831824062095731,9.486832980505138,0
39,237.5,237.5,0.0,228.0,0.0,932.0,594.0,180,36.251958603999995,2409.0,0.7320464923204649,0.09464508094645081,13.416407864998739,0
40,342.0,38.0,0.0,228.0,0.0,932.0,670.0,90,50.45930106,2300.0,0.7130434782608696,0.09913043478260869,9.486832980505138,0
41,427.5,47.5,0.0,228.0,0.0,932.0,594.0,365,43.698299404,2594.0,0.606592135697764,0.08789514263685427,19.1049731745428,0
42,237.5,237.5,0.0,228.0,0.0,932.0,594.0,365,38.995383608,2594.0,0.6798380878951427,0.08789514263685427,19.1049731745428,0
43,380.0,0.0,0.0,228.0,0.0,932.0,670.0,180,53.104130996,2390.0,0.6702928870292887,0.09539748953974896,13.416407864998739,0
44,427.5,47.5,0.0,228.0,0.0,932.0,594.0,90,41.542997428,2319.0,0.6785252263906857,0.09831824062095731,9.486832980505138,0
45,427.5,47.5,0.0,228.0,0.0,932.0,594.0,7,35.076402024,2236.0,0.7037119856887298,0.10196779964221825,2.6457513110645907,0
46,349.0,0.0,0.0,192.0,0.0,1047.0,806.9,3,15.049192651999999,2397.9,0.7731348263063514,0.08007006130364068,1.7320508075688772,0
47,380.0,95.0,0.0,228.0,0.0,932.0,594.0,180,40.759063216,2409.0,0.6728933167289332,0.09464508094645081,13.416407864998739,0
48,237.5,237.5,0.0,228.0,0.0,932.0,594.0,7,26.258003984,2236.0,0.7886851520572451,0.10196779964221825,2.6457513110645907,0
49,380.0,95.0,0.0,228.0,0.0,932.0,594.0,7,32.823194456,2236.0,0.7249552772808586,0.10196779964221825,2.6457513110645907,0
50,332.5,142.5,0.0,228.0,0.0,932.0,594.0,180,39.779317819999996,2409.0,0.6926110419261104,0.09464508094645081,13.416407864998739,0
51,190.0,190.0,0.0,228.0,0.0,932.0,670.0,180,46.931941843999994,2390.0,0.7497907949790795,0.09539748953974896,13.416407864998739,0
52,237.5,237.5,0.0,228.0,0.0,932.0,594.0,90,33.116911232,2319.0,0.7604570935748167,0.09831824062095731,9.486832980505138,0
53,304.0,76.0,0.0,228.0,0.0,932.0,670.0,90,49.185149411999994,2300.0,0.7295652173913043,0.09913043478260869,9.486832980505138,0
54,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,7,14.589312159999999,2401.9,0.8590282692868146,0.07993671676589366,2.6457513110645907,0
55,198.6,132.4,0.0,192.0,0.0,978.4,825.5,7,14.638264955999999,2333.9,0.8296413728094605,0.0822657354642444,2.6457513110645907,0
56,475.0,0.0,0.0,228.0,0.0,932.0,594.0,365,41.934619796,2594.0,0.5882806476484195,0.08789514263685427,19.1049731745428,0
57,198.6,132.4,0.0,192.0,0.0,978.4,825.5,3,9.131420144,2329.9,0.8310657109747199,0.08240697025623417,1.7320508075688772,0
58,304.0,76.0,0.0,228.0,0.0,932.0,670.0,180,50.94882902,2390.0,0.7020920502092051,0.09539748953974896,13.416407864998739,0
59,332.5,142.5,0.0,228.0,0.0,932.0,594.0,28,33.019005639999996,2257.0,0.7392556490917147,0.10101905183872396,5.291502622129181,0
60,304.0,76.0,0.0,228.0,0.0,932.0,670.0,270,54.378282643999995,2480.0,0.6766129032258065,0.09193548387096774,16.431676725154983,0
61,266.0,114.0,0.0,228.0,0.0,932.0,670.0,270,51.732763231999996,2480.0,0.6919354838709677,0.09193548387096774,16.431676725154983,0
62,310.0,0.0,0.0,192.0,0.0,971.0,850.6,3,9.86640156,2326.6,0.782945070059314,0.08252385455170635,1.7320508075688772,0
63,190.0,190.0,0.0,228.0,0.0,932.0,670.0,270,50.655112243999994,2480.0,0.7225806451612903,0.09193548387096774,16.431676725154983,0
64,266.0,114.0,0.0,228.0,0.0,932.0,670.0,180,48.695621452,2390.0,0.7179916317991631,0.09539748953974896,13.416407864998739,0
65,342.0,38.0,0.0,228.0,0.0,932.0,670.0,270,55.064311264,2480.0,0.6612903225806451,0.09193548387096774,16.431676725154983,0
66,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,360,44.698039603999995,2754.9,0.748956404951178,0.06969399978220625,18.973665961010276,0
67,332.5,142.5,0.0,228.0,0.0,932.0,594.0,7,30.275580636,2236.0,0.7461985688729875,0.10196779964221825,2.6457513110645907,0
68,190.0,190.0,0.0,228.0,0.0,932.0,670.0,28,40.856968808,2238.0,0.8007149240393209,0.10187667560321716,5.291502622129181,0
69,485.0,0.0,0.0,146.0,0.0,1120.0,800.0,28,71.98818916,2579.0,0.7444746025591314,0.05661108956960062,5.291502622129181,0
70,374.0,189.2,0.0,170.1,10.1,926.1,756.7,3,34.39795764,2429.2,0.7706240737691422,0.07002305285690763,1.7320508075688772,1
71,313.3,262.2,0.0,175.5,8.6,1046.9,611.8,3,28.79941252,2421.3,0.7933341593358939,0.07248172469334654,1.7320508075688772,1
72,425.0,106.3,0.0,153.5,16.5,852.1,887.1,3,33.398217439999996,2443.5,0.7552690812359321,0.06281972580315122,1.7320508075688772,1
73,425.0,106.3,0.0,151.4,18.6,936.0,803.7,3,36.3009114,2444.0,0.7553191489361702,0.061947626841243865,1.7320508075688772,1
74,375.0,93.8,0.0,126.6,23.4,852.1,992.6,3,28.99936056,2466.5,0.7859314818568822,0.05132779241840665,1.7320508075688772,1
75,475.0,118.8,0.0,181.1,8.9,852.1,781.5,3,37.79707432,2420.4,0.7240125599074533,0.07482234341431168,1.7320508075688772,1
76,469.0,117.2,0.0,137.8,32.2,852.1,840.5,3,40.1964508,2451.8,0.7381515621176279,0.05620360551431601,1.7320508075688772,1
77,425.0,106.3,0.0,153.5,16.5,852.1,887.1,3,33.398217439999996,2443.5,0.7552690812359321,0.06281972580315122,1.7320508075688772,1
78,388.6,97.1,0.0,157.9,12.1,852.1,925.7,3,28.096147,2436.5,0.769505438128463,0.06480607428688694,1.7320508075688772,1
79,531.3,0.0,0.0,141.8,28.2,852.1,893.7,3,41.2996124,2450.1000000000004,0.7125423452103995,0.05787518876780539,1.7320508075688772,1
80,425.0,106.3,0.0,153.5,16.5,852.1,887.1,3,33.398217439999996,2443.5,0.7552690812359321,0.06281972580315122,1.7320508075688772,1
81,318.8,212.5,0.0,155.7,14.3,852.1,880.4,3,25.2003478,2436.8,0.7981779382797111,0.06389527248850951,1.7320508075688772,1
82,401.8,94.7,0.0,147.4,11.4,946.8,852.1,3,41.09966436,2457.2,0.7706332410874166,0.05998697704704543,1.7320508075688772,1
